---Measurement Setup-----------------------------------------------------------------
Device Type: Bode100
Serial Number: JE879C
Date: 07-12-2016
Time: 14:44
Start Frequency (Hz): 1
Stop Frequency (Hz): 1000
Number of Points: 51
Sweep Mode: Logarithmic
Reference Resistance (Ohm): 10
Source Level (dBm): 4
Receiver Bandwidth (Hz): 10
Reference Signal: CH1
Attenuator CH1 (dB): 10
Attenuator CH2 (dB): 10
Input Impedance CH1 (Ohm): 1M
Input Impedance CH2 (Ohm): 1M
Probe CH1: 10:1
Probe CH2: 10:1
-------------------------------------------------------------------------------------
Frequency (Hz),TR1: Gain (Real),TR1: Gain (Imag),TR1: Gain (dB),TR2: Gain (Real),TR2: Gain (Imag),TR2: Gain (Degree)
1,1.06118933718832,0.0572328375992106,0.528471708590329,1.06118933718832,0.0572328375992106,3.08712688730678
1.14815362149688,0.9867104738157,-0.110056415423141,-0.0625084909961399,0.9867104738157,-0.110056415423141,-6.36439156108925
1.31825673855641,0.702253746088098,-0.0189788241555637,-3.06694785465838,0.702253746088098,-0.0189788241555637,-1.54807561409011
1.51356124843621,1.2558207095589,0.371378931246416,2.34266141407538,1.2558207095589,0.371378931246416,16.474322298775
1.73780082874938,0.0963075272623388,-0.34585543418185,-8.89776998579961,0.0963075272623388,-0.34585543418185,-74.4395111788176
1.99526231496888,1.05933767404054,0.171028557996844,0.612439810003614,1.05933767404054,0.171028557996844,9.17118412723703
2.29086765276777,0.995989617958969,0.0827184288302152,-0.00505092514168293,0.995989617958969,0.0827184288302152,4.74760465397552
2.63026799189538,0.931247309424225,0.0263222226846259,-0.615231006139425,0.931247309424225,0.0263222226846259,1.61906595865166
3.01995172040202,0.953883611464356,0.212202137892589,-0.200313317297481,0.953883611464356,0.212202137892589,12.5418576945976
3.46736850452532,0.796503086463362,0.0678261300275828,-1.94487213750523,0.796503086463362,0.0678261300275828,4.86727349670149
3.98107170553497,0.512160417807186,-0.0193558514210104,-5.80568127426218,0.512160417807186,-0.0193558514210104,-2.16432394650177
4.57088189614875,-0.0443650865787576,-0.158185713132079,-15.687813346008,-0.0443650865787576,-0.158185713132079,-105.666791450939
5.24807460249773,0.893480929283189,0.694933835651446,1.07630897875631,0.893480929283189,0.694933835651446,37.8751524231629
6.02559586074358,0.181057268581078,0.552689147673492,-4.70766010039091,0.181057268581078,0.552689147673492,71.8615501875584
6.91830970918936,0.319426604106217,0.0174892985338033,-9.89957850848248,0.319426604106217,0.0174892985338033,3.13393890469416
7.94328234724281,0.175484801273009,-0.015698498240882,-15.0805928290101,0.175484801273009,-0.015698498240882,-5.11195143838226
9.1201083935591,0.286372968163134,-0.0127715715049941,-10.8527302462426,0.286372968163134,-0.0127715715049941,-2.55356706381645
10.471285480509,0.145065531835052,-0.0255200240477791,-16.636347373972,0.145065531835052,-0.0255200240477791,-9.97741994087582
12.0226443461741,0.105761645949694,-0.00386218937669666,-19.5076482843519,0.105761645949694,-0.00386218937669666,-2.09139013921918
13.8038426460288,0.264152253721555,0.221734514908793,-9.24662542250897,0.264152253721555,0.221734514908793,40.0107482954724
15.8489319246111,0.660653988371538,0.0523827511737365,-3.5733010904032,0.660653988371538,0.0523827511737365,4.53345427886694
18.1970085860998,0.995108467360687,-0.238169962951067,0.199324924469619,0.995108467360687,-0.238169962951067,-13.4600104922194
20.8929613085404,1.13697076407166,0.166614067867397,1.20726159602834,1.13697076407166,0.166614067867397,8.33690384316659
23.9883291901949,0.907805428352736,0.144816531966136,-0.73100879419817,0.907805428352736,0.144816531966136,9.0636692992811
27.5422870333817,0.806043242513479,0.0920656401720918,-1.81654136961424,0.806043242513479,0.0920656401720918,6.51604168359947
31.6227766016838,0.592304551837762,-0.00610461234313872,-4.54863729212582,0.592304551837762,-0.00610461234313872,-0.590500508275497
36.3078054770101,0.057472731155613,-0.167024580334984,-15.0584087844951,0.057472731155613,-0.167024580334984,-71.0117907427652
41.6869383470335,0.14781900373111,0.153071026602448,-13.4408210070265,0.14781900373111,0.153071026602448,45.9999938808982
47.8630092322638,0.113830999882504,0.00293491072256194,-18.8719029043514,0.113830999882504,0.00293491072256194,1.47693291618474
54.9540873857625,0.188983866903568,-0.120847754329195,-12.9826729336929,0.188983866903568,-0.120847754329195,-32.5973165444385
63.0957344480193,0.0778915380669819,0.124339827533368,-16.6700671653877,0.0778915380669819,0.124339827533368,57.935293147262
72.443596007499,0.0889645726622476,-0.179879415263276,-13.9500435904663,0.0889645726622476,-0.179879415263276,-63.6839697833034
83.1763771102671,0.0687274138538454,0.0589138767258678,-20.8648801906478,0.0687274138538454,0.0589138767258678,40.6035364251012
95.4992586021436,0.113991767145683,-0.0482222832538559,-18.147550807762,0.113991767145683,-0.0482222832538559,-22.9299675816855
109.647819614319,0.128201302436359,-0.0168786281041131,-17.7675172596194,0.128201302436359,-0.0168786281041131,-7.50026641462273
125.892541179417,0.03517940157392,0.0382700545203557,-25.6828454054479,0.03517940157392,0.0382700545203557,47.4095068358913
144.543977074593,0.123694126214071,-0.0450522007608257,-17.6120299971513,0.123694126214071,-0.0450522007608257,-20.0127688594406
165.958690743756,0.0551725446020805,0.0191889275460765,-24.6696238804083,0.0551725446020805,0.0191889275460765,19.1775973311931
190.546071796325,0.0519172501834244,-0.0448174802827505,-23.2753200322304,0.0519172501834244,-0.0448174802827505,-40.8023474495129
218.776162394955,0.0751924729635445,-0.00651649317152675,-22.4440160560616,0.0751924729635445,-0.00651649317152675,-4.95311542915598
