---Measurement Setup-----------------------------------------------------------------
Device Type: Bode100
Serial Number: JE879C
Date: 13-10-2016
Time: 10:48
Start Frequency (Hz): 10
Stop Frequency (Hz): 50000
Number of Points: 401
Sweep Mode: Logarithmic
Reference Resistance (Ohm): 50
Source Level (dBm): 10
Receiver Bandwidth (Hz): 100
Reference Signal: CH1
Attenuator CH1 (dB): 10
Attenuator CH2 (dB): 0
Input Impedance CH1 (Ohm): 1M
Input Impedance CH2 (Ohm): 1M
Probe CH1: 1:1
Probe CH2: 1:1
-------------------------------------------------------------------------------------
Frequency (Hz),TR2: Gain (Real),TR2: Gain (Imag),TR2: Gain (Degree)
10,0.996910162130227,0.0011421456356189,0.0656429218639917
10.215212961506,0.996929193310306,0.00107198626511039,0.0616094557433817
10.4350575848921,0.996935086546807,0.00100659569272413,0.057850973497153
10.6596335495251,0.996950633248895,0.000939139648515154,0.0539733067239065
10.8890426800014,0.996972114266654,0.000875586505570055,0.0503197609557796
11.1233889923142,0.996973226187141,0.000815995399778404,0.0468950226961188
11.3627787410162,0.996988513924119,0.000760307435120598,0.0436939825400605
11.6073204673953,0.99698545219671,0.000692732143520154,0.0398106328251523
11.8571250486891,0.996996932370583,0.000620323807100294,0.035648987813289
12.1123057483567,0.997021203028925,0.00056665765022993,0.0325640901040772
12.3729782674337,0.997033787446615,0.000498142458840216,0.0286263700110151
12.6392607969921,0.997060129888088,0.0004416539138754,0.0253795160962949
12.9112740717289,0.997068869584939,0.000383019991979547,0.0220099419403358
13.1891414247082,0.997076256676228,0.000319015352930152,0.01833183026542
13.4729888432815,0.997079115342157,0.0002571045158064,0.0147741569312834
13.7629450262115,0.997096014124531,0.000198371183393032,0.0113989337781679
14.0591414420251,0.997114386937763,0.00013710679361863,0.00787837450779813
14.3617123886221,0.997123956990213,7.08520848747308E-05,0.00407123447163592
14.6707950541674,0.997134291251394,1.44068755113477E-05,0.00082782546940315
14.9865295792929,0.997139661745889,-4.96098564538385E-05,-0.00285058904359767
15.3090591206387,0.997165905430915,-0.000110026991651279,-0.00632199937264343
15.638529915761,0.997174195051189,-0.000173641799632434,-0.00997713560460194
15.9750913494382,0.997173334980702,-0.000239210978659169,-0.0137446306942432
16.3188960214023,0.997199502955143,-0.000292969373415511,-0.016833049044454
16.6700998155298,0.997207181834342,-0.000340764700036843,-0.0195790591111383
17.02886197052,0.997222883864643,-0.000413862694799757,-0.0237786203387564
17.3953451520953,0.997254459931935,-0.000483815078852187,-0.0277968773487063
17.7697155267555,0.997249744705682,-0.000538241253722133,-0.0309239980930849
18.1521428371187,0.997280081387317,-0.000606608887382054,-0.0348509164319848
18.5428004788844,0.997304743654967,-0.000656312023950372,-0.0377055296556333
18.941865579452,0.99729899406573,-0.000720474221657286,-0.0413919248021114
19.3495190782323,0.997319522148876,-0.000783773314581422,-0.0450275892311808
19.7659458086867,0.997350117341999,-0.000860520710017683,-0.049435190085915
20.1913345821322,0.997361232402874,-0.000915687105163961,-0.0526038009445072
20.6258782733501,0.997397009848208,-0.000981725915913147,-0.0563955304658308
21.0697739080372,0.997407597701065,-0.00105596912593837,-0.0606598062282517
21.5232227521383,0.997422589831829,-0.00111557215793289,-0.0640827171863776
21.9864304031024,0.997444411405277,-0.00116215460230565,-0.0667571274762888
22.4596068831022,0.997473224416769,-0.00125072908127534,-0.0718429912306509
22.9429667342596,0.997503296887841,-0.00130867220379042,-0.0751690257643865
23.436729115921,0.997517833859769,-0.00137573012572969,-0.0790196198022542
23.9411179040262,0.997574876174122,-0.00144782191605321,-0.0831556898766246
24.4563617926152,0.997581520504204,-0.00151917264207861,-0.0872531333707409
24.9826943975204,0.997628016451026,-0.00159346482767565,-0.0915158057731629
25.5203543622894,0.997658796347003,-0.00167173999991173,-0.0960083318469326
26.0695854663886,0.997656905981961,-0.00173828208936847,-0.0998300377024547
26.6306367357342,0.997694984800918,-0.00182656020505613,-0.104895860403947
27.203762555603,0.997736965148177,-0.00188120232775592,-0.108029300137141
27.7892227859728,0.997763032516628,-0.00196131622998841,-0.112626940332171
28.3872828793448,0.997782785529378,-0.00203700127079724,-0.11697076280291
28.9982140011021,0.997815660081294,-0.0021064872199372,-0.120956858897721
29.6222931524584,0.997871875197376,-0.00219124594139841,-0.125816696147669
30.2598032960524,0.99791368834356,-0.00227459464800707,-0.130596913599824
30.9110334842457,0.997944874045356,-0.00234239356520755,-0.134485403216319
31.5762789901814,0.997991400386979,-0.00240765582165237,-0.13822588994311
32.2558414416631,0.998045037481405,-0.00249083180213661,-0.142993400176441
32.950028957916,0.998075632004275,-0.00257748288760938,-0.147963298772054
33.6591562892903,0.998118390861123,-0.00267446035910313,-0.153523796101587
34.3835449599715,0.998201095159671,-0.0027458725317305,-0.157610035775353
35.1235234137626,0.998248679402948,-0.00283311801350277,-0.162610051540086
35.8794271630028,0.998250495163263,-0.00294424385393068,-0.168987902691439
36.6515989406918,0.998326093543904,-0.00303939635259336,-0.174436034833999
37.4403888558875,0.99844759618884,-0.00311656293486144,-0.178842959315551
38.2461545524488,0.998469923135294,-0.0032307567691004,-0.185391745109567
39.0692613711937,0.99849470763255,-0.00332795643180866,-0.190964609457991
39.9100825155485,0.99863544461099,-0.00336749168696546,-0.193205970141968
40.7689992207606,0.998614055832094,-0.00350457014204047,-0.201074932435046
41.6464009267543,0.998749005083981,-0.00360851675572095,-0.207010850280764
42.5426854547057,0.998873772985844,-0.00371588016725918,-0.213143316407709
43.4582591874183,0.998955420980495,-0.00383401954837045,-0.219901764842627
