---Measurement Setup-----------------------------------------------------------------
Device Type: Bode100
Serial Number: JE879C
Date: 13-10-2016
Time: 11:03
Start Frequency (Hz): 10
Stop Frequency (Hz): 50000
Number of Points: 401
Sweep Mode: Logarithmic
Reference Resistance (Ohm): 50
Source Level (dBm): 10
Receiver Bandwidth (Hz): 100
Reference Signal: CH1
Attenuator CH1 (dB): 10
Attenuator CH2 (dB): 0
Input Impedance CH1 (Ohm): 1M
Input Impedance CH2 (Ohm): 1M
Probe CH1: 1:1
Probe CH2: 1:1
-------------------------------------------------------------------------------------
Frequency (Hz),TR2: Impedance (Real),TR2: Impedance (Imag),TR2: Impedance (absolut)
10,8.98499217407484,-73.137819915536,73.6876569471819
10.215212961506,8.75244566345585,-71.6673540686264,72.1998264837915
10.4350575848921,8.49580436834091,-70.0249992591024,70.5384945480297
10.6596335495251,8.29263164437063,-68.6763986490696,69.1752518679559
10.8890426800014,8.06729507281218,-67.1668636820472,67.6496033002007
11.1233889923142,7.85356125986312,-65.7229727585127,66.1905399032115
11.3627787410162,7.68295517578914,-64.5351002540501,64.9908221600056
11.6073204673953,7.49463687609716,-63.2010247474775,63.6438458221674
11.8571250486891,7.29210648811018,-61.7420073531942,62.1711371058615
12.1123057483567,7.12665547685737,-60.5197563140266,60.9379202352277
12.3729782674337,6.97092406117371,-59.3458334730722,59.7538428293969
12.6392607969921,6.80167906891907,-58.0587725192594,58.45582866233
12.9112740717289,6.64520465035287,-56.8252482656923,57.2124775315895
13.1891414247082,6.49597489089529,-55.6453726734407,56.0232557939044
13.4729888432815,6.35527264309367,-54.5124267851411,54.8816377705096
13.7629450262115,6.22336544658934,-53.4264146337579,53.787657116666
14.0591414420251,6.08366464778976,-52.2523635517692,52.6053274136092
14.3617123886221,5.96686918023601,-51.2538555812106,51.6000120131153
14.6707950541674,5.84320964861759,-50.1732853765639,50.5123911973668
14.9865295792929,5.72554981555429,-49.1382993902977,49.4707427441809
15.3090591206387,5.61588906410368,-48.146003297461,48.4724235364753
15.638529915761,5.49967677620387,-47.0883375999621,47.4084167903835
15.9750913494382,5.40304777523821,-46.1760840564953,46.4911138181699
16.3188960214023,5.30140702720639,-45.2027092261453,45.5125239670527
16.6700998155298,5.19608372491073,-44.2412869240864,44.5453786017766
17.02886197052,5.09746121703231,-43.2594464948695,43.5587399025916
17.3953451520953,5.0123683629657,-42.4043254696005,42.6995392848432
17.7697155267555,4.92391737918259,-41.5025920650682,41.7936611279328
18.1521428371187,4.84073489091554,-40.6385124189627,40.925803668472
18.5428004788844,4.76288160838851,-39.8092509884082,40.0931603328249
18.941865579452,4.68938082549581,-39.0138433694745,39.2946595224391
19.3495190782323,4.61363457075041,-38.1811290168483,38.458864218196
19.7659458086867,4.54210611626599,-37.384316979681,37.6592337151021
20.1913345821322,4.47524550788368,-36.6201551356763,36.8925952532054
20.6258782733501,4.40639031480178,-35.8262465651745,36.0962078140496
21.0697739080372,4.34702393111202,-35.1237856345449,35.3917636514362
21.5232227521383,4.28597897054577,-34.3940888396274,34.6601062151307
21.9864304031024,4.22413609899553,-33.6405601400882,33.904728465536
22.4596068831022,4.16989686283812,-32.9711566878671,33.233796249941
22.9429667342596,4.11459167763531,-32.2778418657739,32.53903717361
23.436729115921,4.06390226733173,-31.6144340920149,31.8745626573413
23.9411179040262,4.01091301808593,-30.9335093516897,31.1924578071323
24.4563617926152,3.96479908456464,-30.3236034156528,30.5817029592983
24.9826943975204,3.91808857025034,-29.6970583075935,29.9544101956445
25.5203543622894,3.87095856839317,-29.0559086970105,29.3126278325098
26.0695854663886,3.82939006397106,-28.4804378519906,28.7367285629931
26.6306367357342,3.78527517501175,-27.8546114591713,28.1106330005562
27.203762555603,3.74582109957626,-27.2910676097235,27.5469335314937
27.7892227859728,3.70646254923562,-26.7166996362804,26.9725768899471
28.3872828793448,3.66831524616576,-26.1662856220389,26.4221694794233
28.9982140011021,3.63349308353404,-25.6376799346068,25.8938777400649
29.6222931524584,3.59815580728145,-25.1011580224978,25.3577376609957
30.2598032960524,3.56536417852223,-24.5867869352679,24.843951246244
30.9110334842457,3.53210428820208,-24.0665216647667,24.3243340246639
31.5762789901814,3.50044622681358,-23.5679533934042,23.8264884307462
32.2558414416631,3.46871304093391,-23.0650163034298,23.3243852488726
32.950028957916,3.44095102682251,-22.6076383619364,22.8680007056386
33.6591562892903,3.41173857047147,-22.1216568430971,22.3832004315064
34.3835449599715,3.38412826563043,-21.6567962551712,21.9196064781336
35.1235234137626,3.35751493233817,-21.2110751316353,21.4751627411936
35.8794271630028,3.33315033069962,-20.7831201251532,21.0487047882664
36.6515989406918,3.30865201036512,-20.3539616502558,20.6211283150505
37.4403888558875,3.28429641537925,-19.9230702202027,20.191962013217
38.2461545524488,3.26100562407271,-19.5108519165476,19.7814938816482
39.0692613711937,3.23844350967724,-19.0985889716182,19.3712058755305
39.9100825155485,3.2170135826049,-18.7033538720149,18.9780036477096
40.7689992207606,3.19626653430494,-18.3241584269935,18.6008306754261
41.6464009267543,3.17648995990441,-17.9446042447765,18.2235811509984
42.5426854547057,3.15723094349261,-17.5678423160942,17.849291046809
43.4582591874183,3.13809430178925,-17.2053983498523,17.4892357815893
44.3935372535804,3.12014357467174,-16.8449287900981,17.1314600040406
45.3489437159875,3.10125804162269,-16.4872643935473,16.7764027319167
46.3249117638163,3.08504430837589,-16.1563143255327,16.4482215138919
47.3218839090359,3.06875848904742,-15.8150313918205,16.1100123087591
48.3403121870467,3.05313734481718,-15.4877880731177,15.7858552838965
