---Measurement Setup-----------------------------------------------------------------
Device Type: Bode100
Serial Number: JE879C
Date: 13-10-2016
Time: 10:47
Start Frequency (Hz): 10
Stop Frequency (Hz): 50000
Number of Points: 401
Sweep Mode: Logarithmic
Reference Resistance (Ohm): 50
Source Level (dBm): 10
Receiver Bandwidth (Hz): 100
Reference Signal: CH1
Attenuator CH1 (dB): 10
Attenuator CH2 (dB): 0
Input Impedance CH1 (Ohm): 1M
Input Impedance CH2 (Ohm): 1M
Probe CH1: 1:1
Probe CH2: 1:1
-------------------------------------------------------------------------------------
Frequency (Hz),TR1: Gain (Real),TR1: Gain (Imag),TR1: Gain (dB)
10,0.996911393047729,0.00113708466874335,-0.0268631640134573
10.215212961506,0.996928689075281,0.0010752123257844,-0.0267130668169801
10.4350575848921,0.996927640086743,0.00100510573712346,-0.026722843581768
10.6596335495251,0.996951251431203,0.000940573571401737,-0.0265176772914003
10.8890426800014,0.99695674569012,0.000880490600909213,-0.0264702870885289
11.1233889923142,0.99697113591354,0.000817686007144874,-0.026345380663095
11.3627787410162,0.996972643348878,0.000749663946336012,-0.0263327133225053
11.6073204673953,0.996990892369176,0.000683796463759846,-0.0261741371036377
11.8571250486891,0.996990412066346,0.000619839476555491,-0.0261786858408657
12.1123057483567,0.997010104582993,0.000551942830108446,-0.026007471840626
12.3729782674337,0.997028702819057,0.000501089917311247,-0.0258456806846749
12.6392607969921,0.997038816519695,0.000437448078563105,-0.025757833818753
12.9112740717289,0.997058439142686,0.000380137663741149,-0.0255870940894679
13.1891414247082,0.997075291834799,0.000322356473141506,-0.0254404601898117
13.4729888432815,0.997078539082662,0.000253302285947511,-0.0254123459205689
13.7629450262115,0.997075147256428,0.000197563071080573,-0.025442003101967
14.0591414420251,0.997103918083651,0.000131567941303756,-0.0251914683143127
14.3617123886221,0.997117183097705,7.18923018241101E-05,-0.0250759690213157
14.6707950541674,0.997123317936813,1.57875204943951E-05,-0.0250225500786073
14.9865295792929,0.997147856902839,-6.04709791672329E-05,-0.0248087801619817
15.3090591206387,0.997149471513329,-0.000116981929825688,-0.0247946719305505
15.638529915761,0.997181473198156,-0.000161528690353474,-0.0245158645111305
15.9750913494382,0.997198433743245,-0.000230915475228968,-0.0243680130310832
16.3188960214023,0.997213130822062,-0.000299461203653727,-0.0242398393601088
16.6700998155298,0.997215027440987,-0.000365209238918979,-0.024223128664362
17.02886197052,0.997226087596392,-0.000414289311036476,-0.0241266265530176
17.3953451520953,0.997247608481158,-0.000487120428779436,-0.0239388939204365
17.7697155267555,0.997252740319547,-0.000534407439008938,-0.0238939854955804
18.1521428371187,0.997270755672131,-0.000604130409956802,-0.0237367298777122
18.5428004788844,0.997300282875216,-0.000650753581427764,-0.0234793063982102
18.941865579452,0.99731276865127,-0.000722961082614384,-0.0233701303632992
19.3495190782323,0.997333323118281,-0.000797885872058523,-0.0231906198911625
19.7659458086867,0.997361965997951,-0.000842463934354445,-0.0229408502738169
20.1913345821322,0.997384665550995,-0.000917265958805922,-0.0227425906767756
20.6258782733501,0.997393576751932,-0.000978121629011766,-0.0226644828606184
21.0697739080372,0.997409744894854,-0.00103421866060798,-0.0225231896351261
21.5232227521383,0.997435023910645,-0.00112669342201022,-0.0223021793807776
21.9864304031024,0.997454878939876,-0.00117553716106375,-0.0221287883829598
22.4596068831022,0.997480492214131,-0.00124292313368745,-0.0219050384647454
22.9429667342596,0.997496031929848,-0.00130249476273427,-0.0217690606900702
23.436729115921,0.997510567265956,-0.00138238241710384,-0.0216415564119432
23.9411179040262,0.997552871286805,-0.0014668218379639,-0.021272149875306
24.4563617926152,0.99756616702655,-0.0015123894480431,-0.021155789810415
24.9826943975204,0.997610587864899,-0.00158681622839144,-0.0207680169005629
25.5203543622894,0.997638070999133,-0.00165791094510487,-0.0205277269851915
26.0695854663886,0.997667413299889,-0.00172693020701955,-0.0202712447231695
26.6306367357342,0.997690302519312,-0.00181624027739987,-0.0200705888879893
27.203762555603,0.997735784167806,-0.00187563479482533,-0.0196736794583978
27.7892227859728,0.997769308052001,-0.00194759283237786,-0.019380639692946
28.3872828793448,0.997799586967491,-0.00203742445931364,-0.0191154958479501
28.9982140011021,0.997830660769347,-0.00210216681535503,-0.018843833364367
29.6222931524584,0.997875183096651,-0.0021869456099899,-0.0184547010349628
30.2598032960524,0.997905574898814,-0.00225157212013192,-0.0181889134067711
30.9110334842457,0.997928148197822,-0.00235717845081363,-0.0179903133876306
31.5762789901814,0.997989323113471,-0.00241632300667111,-0.0174566398626578
32.2558414416631,0.998036657744491,-0.00250240176683553,-0.0170428343005528
32.950028957916,0.998068818746875,-0.00259079307762608,-0.0167609813906741
33.6591562892903,0.998103969839628,-0.00266069726809635,-0.0164534792080434
34.3835449599715,0.998230852631984,-0.00273879675510246,-0.0153475358407955
35.1235234137626,0.998252803061326,-0.00286452157159572,-0.0151534722738371
35.8794271630028,0.998267806113892,-0.00291808628294945,-0.0150215815256591
36.6515989406918,0.998354047416849,-0.00301087633320498,-0.0142688409714488
37.4403888558875,0.998394010089577,-0.00310606772861238,-0.0139186305261198
38.2461545524488,0.99847171885763,-0.00321446187131009,-0.0132396233823221
39.0692613711937,0.998539524205379,-0.00327347451876686,-0.0126481306618483
39.9100825155485,0.998594363223537,-0.00342542901843873,-0.0121666933352286
40.7689992207606,0.99864494257757,-0.00342600884870797,-0.0117267472629615
41.6464009267543,0.99871151232127,-0.00363304088641432,-0.0111414080435203
42.5426854547057,0.998811529276341,-0.00376538721456198,-0.0102673435896563
