---Measurement Setup-----------------------------------------------------------------
Device Type: Bode100
Serial Number: JE879C
Date: 13-10-2016
Time: 11:05
Start Frequency (Hz): 10
Stop Frequency (Hz): 50000
Number of Points: 401
Sweep Mode: Logarithmic
Reference Resistance (Ohm): 50
Source Level (dBm): 10
Receiver Bandwidth (Hz): 100
Reference Signal: CH1
Attenuator CH1 (dB): 10
Attenuator CH2 (dB): 0
Input Impedance CH1 (Ohm): 1M
Input Impedance CH2 (Ohm): 1M
Probe CH1: 1:1
Probe CH2: 1:1
-------------------------------------------------------------------------------------
Frequency (Hz),TR2: Impedance (Real),TR2: Impedance (Imag),TR2: Impedance (Ls)
10,1020.26052108469,-0.251010057863167,-0.00399494914747057
10.215212961506,1020.30624396755,-0.380632198801535,-0.00593032139099625
10.4350575848921,1020.335445818,-0.247956834266243,-0.00378182444378898
10.6596335495251,1020.56513345956,-0.013175242994629,-0.000196714553018146
10.8890426800014,1020.39241921059,-0.236891994755569,-0.00346242852124109
11.1233889923142,1020.48751837631,-0.133028061159265,-0.00190338335897963
11.3627787410162,1020.44381221962,-0.206367759450747,-0.00289052966356083
11.6073204673953,1020.24036268899,-0.258860471137914,-0.00354939140936296
11.8571250486891,1020.451959826,-0.146016656126005,-0.00195994159636298
12.1123057483567,1020.42651316033,-0.0755993660889907,-0.000993370961537122
12.3729782674337,1020.46845150113,-0.136520434253837,-0.00175607695050587
12.6392607969921,1020.4251823566,-0.158497607105699,-0.00199581906286104
12.9112740717289,1020.47197650417,-0.225201416400101,-0.00277601717787507
13.1891414247082,1020.29415993627,-0.176851060845855,-0.00213408285030094
13.4729888432815,1020.34797355564,-0.150675440026749,-0.00177991248725496
13.7629450262115,1020.39263065145,-0.220516258629448,-0.00255005396927523
14.0591414420251,1020.38166925946,-0.264750970232401,-0.00299708383862682
14.3617123886221,1020.37897525661,-0.172964968104401,-0.00191677906579973
14.6707950541674,1020.37902193791,-0.142757291069274,-0.00154869101859817
14.9865295792929,1020.1790477853,-0.0858953774960819,-0.000912197440035398
15.3090591206387,1020.35255422129,-0.0914148732887687,-0.000950360753157758
15.638529915761,1020.21818174828,-0.131262722255118,-0.00133587435667759
15.9750913494382,1020.40542752675,-0.194524940161657,-0.00193799240981941
16.3188960214023,1020.48864628508,-0.116930242284368,-0.00114039736708188
16.6700998155298,1020.49618974519,-0.0452814068943248,-0.000432316531822647
17.02886197052,1020.27183079978,-0.220077305838854,-0.00205688384504128
17.3953451520953,1020.49564148618,-0.225789672484969,-0.0020658137082583
17.7697155267555,1020.45038995588,-0.191370948240439,-0.00171401913163943
18.1521428371187,1020.38808585291,-0.0148125462646008,-0.000129873920613265
18.5428004788844,1020.67224210725,-0.10977158292348,-0.000942181848593395
18.941865579452,1020.62265864577,-0.15549069579633,-0.00130647705934677
19.3495190782323,1020.64217364698,-0.205942953076503,-0.00169393558798786
19.7659458086867,1020.4432638892,-0.177882705040983,-0.00143230746820059
20.1913345821322,1020.54726378193,-0.168337028947935,-0.0013268895205261
20.6258782733501,1020.55923251489,-0.116265675435737,-0.000897137892131563
21.0697739080372,1020.70037893992,-0.0763549242143287,-0.0005767628865482
21.5232227521383,1020.68992224811,-0.130207427990497,-0.000962827734053482
21.9864304031024,1020.49823319286,-0.214974734479523,-0.00155615491032395
22.4596068831022,1020.50462187303,-0.0872433614519056,-0.000618230421364606
22.9429667342596,1020.56627380356,-0.17852967276465,-0.00123845709398356
23.436729115921,1020.49802295122,0.0126702194801897,8.60413605651801E-05
23.9411179040262,1020.38497834386,-0.152579175042075,-0.00101431061064805
24.4563617926152,1020.62395759935,-0.147191842423723,-0.000957882022812266
24.9826943975204,1020.67784926217,-0.0712418644256045,-0.000453853963787949
25.5203543622894,1020.60046658818,-0.0403825985329446,-0.000251841729161518
26.0695854663886,1020.72765057627,-0.154716210563397,-0.000944543200326628
26.6306367357342,1020.49808954172,-0.00297687717118061,-1.7790964649939E-05
27.203762555603,1020.52813992831,-0.0955523322719841,-0.000559026567518443
27.7892227859728,1020.59486517182,-0.0201684170057258,-0.000115508925367289
28.3872828793448,1020.67330136733,0.0257911272487276,0.000144599446413866
28.9982140011021,1020.81642049412,-0.0954881193969677,-0.000524080766077487
29.6222931524584,1020.77733935504,-0.023911494756674,-0.000128471910248609
30.2598032960524,1020.25658447773,-0.30202411923159,-0.00158853086513468
30.9110334842457,1020.72235413627,-0.00572674354172068,-2.94858967736864E-05
31.5762789901814,1020.69985092296,-0.105394239654037,-0.000531222004326973
32.2558414416631,1020.68186049091,-0.0257795135131542,-0.000127199813204168
32.950028957916,1020.52735814957,-0.0225227970276641,-0.000108789418175823
33.6591562892903,1020.5655316004,-0.0859573307707051,-0.000406443167189419
34.3835449599715,1020.69042911302,-0.120005076339343,-0.000555480859165677
35.1235234137626,1020.5772128439,-0.0363599999570437,-0.000164757779446384
35.8794271630028,1020.56567046838,-0.0602405756581985,-0.000267216791035891
36.6515989406918,1020.69955605761,-0.0693242783224304,-0.000301031930125253
37.4403888558875,1020.73516697088,0.0164683985056409,7.0005336671811E-05
38.2461545524488,1020.97993971833,-0.158200957530952,-0.000658326691599637
39.0692613711937,1020.87255970286,0.0560555939726575,0.000228351511023923
39.9100825155485,1020.62921507163,-0.146747999434048,-0.000585207246556713
40.7689992207606,1020.55238040036,-0.152123055244673,-0.000593861430576945
41.6464009267543,1020.62880691867,-0.122666865743972,-0.000468780917493429
42.5426854547057,1020.73492594048,-0.048901235622541,-0.00018294269130977
43.4582591874183,1020.84564186791,-0.0390019872813895,-0.000142834968135067
